Maturity,Tau,Base_R2,PP_R2,Base_RMSE,PP_RMSE,Base_MAE,PP_MAE,Base_Bias,PP_Bias,R2_Improvement,RMSE_Improvement
6M,0.5,0.9910113327599148,0.9896497701165997,7.471755203975973,8.017703302855589,5.664255198233023,6.582737733612164,2.769060012290536,-4.015486742120542,-0.0013615626433151062,-0.5459480988796157
9M,0.75,0.9563193794731837,0.9487925147211862,15.089737473429619,16.33819250622698,11.500403534961759,13.544315594657748,6.069355765303584,-8.722008757122936,-0.007526864751997486,-1.248455032797363
1Y,1.0,0.8874895325460236,0.8620233737209319,22.074690894132313,24.445612725661302,16.726838981061025,20.407133086769893,8.189774725232025,-13.317973325982264,-0.025466158825091734,-2.370921831528989
2Y,2.0,0.2811224653373242,-0.03168127900706086,39.65515784569314,47.50562124958679,30.465563802961007,40.95233149926015,10.25135833050865,-28.095246113227805,-0.31280374434438507,-7.850463403893649
Overall,,0.964871789966118,0.9522460963451175,24.2040844935493,28.220525032613047,,,,,-0.012625693621000522,-4.016440539063748
